"user id	","tweets content	",created on,
CNN,"This man broke the world record for the longest time doing a plank at 8 hours, 15 minutes and 15 seconds.

He trained 4-5 hours a day in the plank pose. Each day, he also did 700 pushups, 2,000 situps, 500 leg squats and approximately 300 arm curls. https://t.co/zkGtBpqhcH https://t.co/fQYs7kOmyS",3/1/2020 1:30,
CNN,"A dog whose owner tested positive for the novel coronavirus has been placed in quarantine after it tested a ""weak positive"" for the illness, Hong Kong authorities said https://t.co/YLbxojRPaE",3/1/2020 1:20,
CNN,"""Like all Presidents before him, his ability to govern (and in Trump's case, be reelected) will be judged by his performance during crisis in the next weeks and months,"" writes Joe Lockhart for CNN Opinion 
https://t.co/YfRhhAg9Jh",3/1/2020 1:10,
CNN,"The US Food and Drug Administration is aware of ""spot shortages"" of medical devices due to the coronavirus epidemic. Of particular concern are personal protective equipment such as masks, respirators, gloves and surgical gowns. https://t.co/95NiobdrtB",3/1/2020 1:00,
CNN,"Joe Coulombe, founder of the Trader Joe's chain that transformed the way Americans shop for groceries, died at his home in Pasadena, California, on Friday. He was 89. https://t.co/RR1J6DNWmM",3/1/2020 12:53,
CNN,"""I really just wanted to save people."" 

https://t.co/owW1UOmb0A",3/1/2020 12:41,
CNN,"A mother in Louisiana wrote a painfully honest obituary for her only child after he was shot and killed, writing that she hoped her words would show young people that ""the streets offer nothing but heartache, pain, and ultimately death."" https://t.co/JoU6jXcxa4",3/1/2020 12:30,
CNN,"The South Carolina Democratic primary is today. 

Here's everything you need to know about how to watch CNN's coverage https://t.co/9R4iv2mJ5r",3/1/2020 12:15,
CNN,A popular young Princess. A divorced war hero. And a forbidden love. Go inside the romance and scandal that nearly divided the royal family. #TheWindsorsCNN Sunday at 10 p.m. ET/PT https://t.co/eLuCUxUWZ8,3/1/2020 12:06,
CNN,President Trump is expected to use his speech today at the Conservative Political Action Conference to rally his base amid concerns about the growing coronavirus health crisis and fears about its effect on the economy. https://t.co/2OQKnXEK73,3/1/2020 12:00,
CNN,Hospitals and clinics are running drills to prepare for a possible coronavirus outbreak in the US. @NatashaChenCNN reports. https://t.co/zToBgo1sEG https://t.co/qHoNo549Te,2/29/2020 11:55,
CNN,"Hong Kong is giving all adult permanent residents $1,200 https://t.co/1dPtwpcJqK",2/29/2020 11:44,
CNN,"France's equivalent of the Oscars was thrown into turmoil after top awards were given to director Roman Polanski, who fled sentencing in the US in the 1970s after pleading guilty to having sex with a 13-year-old https://t.co/nipC5CMjRL",2/29/2020 11:30,
CNN,"RT @CNNnewsroom: “They played the Facebook platform like a Stradivarius.”

@StevenLevy, author of a book on Facebook, discusses how the Tru…",2/29/2020 11:18,
CNN,"The FDA approved the first generic version of Daraprim, which is used to treat an infection caused by a parasite. 

The drug came to public attention in 2015 after Turing Pharmaceuticals increased its price from $13.50 to $750 per pill. https://t.co/9dH1DdN30N",2/29/2020 11:02,
CNN,"“Right now, we've come to the conclusion that this virus is not going to be contained. So that means every country, every location really needs to prepare,” infectious disease specialist Dr. Amesh Adalja tells @smerconish about coronavirus in the US. https://t.co/cj8pEPqI4z https://t.co/uARlYtwhEv",2/29/2020 11:00,
CNN,"Researchers have discovered a new type of lion, the size of a domestic cat, with powerful flesh-cutting teeth, which roamed the earth around 24 million years ago. https://t.co/2ICKqOS0qB",2/29/2020 10:46,
CNN,"CNN’s @smerconish explores how coronavirus could affect the 2020 election. 

“As coronavirus spreads, it places the President under a microscope while managing a crisis.” https://t.co/4F7ShTNZyE https://t.co/FuHoKHDV66",2/29/2020 10:21,
CNN,"As airplane seats continue to shrink, more and more people around the world find themselves unable to fit — or else subject to invasive comments, touches and other humiliations by both airline employees and their fellow passengers https://t.co/iGhdxyTbMC",2/29/2020 10:16,
CNN,"Despite repeated pleas from health officials not to purchase masks and respirators, Americans are snatching them up —prompting sellers to jack up prices and exploit demand. https://t.co/1djMnlqqfx https://t.co/oZ6p68I1HM",2/29/2020 10:02,
CNN,"There are at least 4 coronavirus cases in the US that are not travel-related, officials say https://t.co/F21YkLBGCw",2/29/2020 9:44,
CNN,4 things to watch in South Carolina's Democratic primary https://t.co/yjntyJTOLj https://t.co/5Sk7swLIau,2/29/2020 9:44,
CNN,BREAKING: US and Taliban sign historic agreement that sets into motion the drawdown of American troops from Afghanistan https://t.co/63MoX09XJb,2/29/2020 9:31,
CNN,A nine-day heat wave scorched Antarctica's northern tip earlier this month. New NASA images reveal that nearly a quarter of an Antarctic island's snow cover melted in that time -- an increasingly common symptom of the climate crisis. https://t.co/6NOK6bbyYW,2/29/2020 9:01,
CNN,"A 46-year-old woman snorted 550 times the normal recreational dose of LSD and not only survived, but found the foot pain she suffered from for years was dramatically reduced, according to a case report published in Journal of Studies on Alcohol and Drugs https://t.co/4cR1BPCeRO",2/29/2020 8:46,
CNN,A 13-year-old from New Jersey has embarked on the cutest mission ever. He sews tiny bow ties for cats and dogs to help them get adopted. https://t.co/WvPN8W96I2,2/29/2020 8:16,
CNN,Who will come out on top? 14 more states open their polls for the primary race on Tuesday. Join us for Super Tuesday live coverage starting at 4 p.m. ET on CNN https://t.co/NKcI7iz0Cu,2/29/2020 8:00,
CNN,"Residents of this Swiss village are going to have to find new homes as authorities clean up a crumbling WWII ammunition depot filled with 3,500 tons of ammo and explosives. It could take a decade to remove the weapons stockpile, built inside a mountain. https://t.co/JLtz3KohDo",2/29/2020 7:51,
CNN,"Earth has captured a tiny object and pulled it into orbit. The asteroid, known as 2020 CD3, is only the second asteroid known to orbit Earth. And while it won't last, this asteroid acts as a temporary mini-moon whirling around our planet. https://t.co/SlQjQaSfrl",2/29/2020 7:46,
CNN,"A 10-year-old boy was accidentally shot by his babysitter when she was taking selfies while holding a gun, a Texas sheriff's office said https://t.co/q496tzIL6t",2/29/2020 7:16,
CNN,"A new study has found that drivers of flashy vehicles are less likely to stop and allow pedestrians to cross the road -- with the likelihood they'll slow down decreasing by 3% for every extra $1,000 that their vehicle is worth. https://t.co/DhHBpKTbLx",2/29/2020 7:01,
CNN,"""I covered the Great Recession in 2008 and 2009. That was a terrifying time — but this seems a lot scarier,"" writes CNN's @LaMonicaBuzz for @CNNBusiness Perspectives https://t.co/2FgeKiP97p",2/29/2020 6:51,
CNN,"Scientists have discovered for the first time that there are two distinct species of red panda, not just one -- and the find could have important ramifications for conservation efforts. https://t.co/7L7DVKXP5b",2/29/2020 6:46,
CNN,The UK Parliament has announced the discovery of a previously-hidden entrance that had been built for the coronation of King Charles II in 1661. https://t.co/4IhG8BPZeQ https://t.co/YJVUb3uVTs,2/29/2020 6:31,
CNN,"This 49-year-old animal lover spends his free time driving around California and spotting homeless people with animals. His goal is to treat the animals, for no cost at all. https://t.co/dj8yDUKoVk",2/29/2020 6:16,
CNN,"Lamonte McIntyre spent 23 years behind bars for a double murder he didn't commit.

On Monday, he was awarded $1.5 million to settle a lawsuit for his wrongful conviction. https://t.co/5qBpzqG1Vk",2/29/2020 6:08,
CNN,"About 70-90% of all existing coral reefs are expected to disappear in the next 20 years due to warming oceans, acidic water and pollution, scientists say. https://t.co/xGTnb4pX8r",2/29/2020 6:01,
CNN,"The novel coronavirus has symptoms that include a runny nose, cough, sore throat, possibly a headache and maybe a fever, which can last for a couple of days https://t.co/ozQqsWzWzx https://t.co/NHH0IIApkc",2/29/2020 5:46,
CNN,"This Harry Potter-themed day spa is designed to have you feeling like you're at Hogwarts, with its magical touches from J.K. Rowling's books https://t.co/GV4R2YqWV5 https://t.co/AddUTA6Rcp",2/29/2020 5:31,
CNN,The highest-ranking officer in the US Marine Corps has ordered Confederate-related paraphernalia to be removed from all Marine installations https://t.co/3ecFuTRsz1,2/29/2020 5:16,
CNN,Scotland has moved to become the first nation to make tampons and pads free. https://t.co/qOHV9RFaFC,2/29/2020 5:01,
CNN,Erika James was named as the new dean at the University of Pennsylvania's Wharton School of Business. She'll be the first woman and person of color to head the top business school in its 139-year history. https://t.co/DXFEENcep9,2/29/2020 4:46,
CNN,A heat wave in Antarctica melted 20% of an island's snow in 9 days https://t.co/nL5ndLs4N7 https://t.co/sRuCvBiTnU,2/29/2020 4:31,
CNN,"In 2018, the CDC stopped funding epidemic prevention activities in 39 of 49 countries, including China, after the Trump administration refused to reallocate money to a program that began as part of the government's response to the Ebola outbreak in 2014 https://t.co/mE36CawDY8",2/29/2020 4:01,
CNN,This reporter kept a sense of humor after he accidentally activated a filter generator on the phone he was using during a weather report. He didn't realize what was happening until he was off camera and saw comments from viewers. https://t.co/kOmria9oyq https://t.co/5l8kTl4Y8k,2/29/2020 3:31,
CNN,"Microsoft founder Bill Gates called the coronavirus a ""once-in-a-century pandemic"" and urged leaders to both ""solve the immediate problem and keep it from happening again"" in an op-ed for the New England Journal of Medicine https://t.co/wACxKS62vw",2/29/2020 3:01,
CNN,"""I covered the Great Recession in 2008 and 2009. That was a terrifying time — but this seems a lot scarier,"" writes CNN's 
@LaMonicaBuzz for @CNNBusiness Perspectives https://t.co/GwBUCy4gqA",2/29/2020 2:46,
CNN,NASA has released video showing what Apollo 13 astronauts saw in orbit on the far side of the Moon. They were in darkness for eight minutes when they were between earthset and sunrise until the lunar terrain emerged. That's where the video starts. https://t.co/KTroZCW4OZ https://t.co/fewqq5kuXe,2/29/2020 2:31,
CNN,The fight over health care is escalating ahead of Saturday's South Carolina primary as an industry group opposed to Medicare for All steps up its spending amid recent polls that suggest those policies are growing in popularity with Democratic voters https://t.co/OH8pxBdyZ9,2/29/2020 2:16,
CNN,"The best protection against coronavirus is washing your hands -- but you have to do it properly:

🚿  Wet your hands

🚿  Lather, making sure to get soap in all the nooks and crannies 

🚿  Scrub for *20 seconds*

🚿  Rinse and *dry thoroughly*

https://t.co/tMswigE6oD",2/29/2020 2:01,
CNN,"It was a terrible week for the US stock market. The three major stock indexes posted their worst weekly percentage drops since the financial crisis, as coronavirus fears mount. https://t.co/38I2hyY0df",2/29/2020 1:46,
